#,7/6,2s[7/6],6/8,2s[6/8],7/5,2s[7/5],Th/U
13,0.0425385,0.0073082,0.0117226,0.00041574,0.0687808,0.0117612,1.07293
11,0.0471281,0.0050769,0.01175442,0.00027374,0.0764087,0.0080018,0.77349
23,0.0482899,0.0048466,0.01193209,0.00048696,0.0794894,0.0075015,0.54871
25,0.0484039,0.0054722,0.01195319,0.00050632,0.079818,0.0086274,0.75703
21,0.0498691,0.0050293,0.01201602,0.00049289,0.0826664,0.0078498,0.68146
29,0.0483799,0.0046174,0.0120987,0.00048708,0.0807496,0.0071888,0.79649
27,0.0494358,0.0044891,0.0121057,0.00048218,0.0825598,0.006929,0.65346
14,0.0474009,0.0065434,0.0121451,0.00036278,0.0794052,0.0108395,1.24877
5,0.0472268,0.0051197,0.01215209,0.00028503,0.0791591,0.0083545,0.94771
19,0.0495829,0.0048678,0.01222456,0.00049727,0.0836184,0.0077,0.4147
0,0.0451955,0.0049718,0.01225148,0.00028703,0.0763738,0.0081877,0.73099
12,0.0458376,0.0047658,0.01224843,0.00027281,0.0774397,0.00781,0.66726
15,0.0481555,0.0048531,0.01228326,0.00050174,0.0816011,0.0077452,0.65628
4,0.0514372,0.0050614,0.01232117,0.00027011,0.087416,0.0083103,0.26073
18,0.0431976,0.0043819,0.0123247,0.00049834,0.0734468,0.0070159,0.68501
10,0.046433,0.0061468,0.01239483,0.00035226,0.0793833,0.0103736,0.37978
28,0.0540609,0.0050466,0.01240606,0.00050228,0.0925238,0.0080423,0.75285
22,0.0478414,0.0041409,0.01242886,0.000488,0.0820299,0.0064986,0.68236
16,0.0462099,0.0045885,0.01244448,0.00050393,0.0793319,0.007401,0.50157
17,0.0436521,0.0041144,0.01244378,0.00049439,0.0749367,0.0065717,0.64073
24,0.0476857,0.0043711,0.01244552,0.0004952,0.0818724,0.006953,0.66662
20,0.0502893,0.0045372,0.01276981,0.00050866,0.0885923,0.0073936,0.77295
2,0.0553848,0.0106562,0.01312591,0.00058485,0.1002723,0.0194021,0.30724
7,0.0509409,0.0058226,0.01376322,0.00035012,0.0967047,0.0108594,0.43162
1,0.0509141,0.0050666,0.01403032,0.00031022,0.0985296,0.0095216,0.67769
8,0.0516032,0.0055466,0.0141877,0.00034081,0.1009832,0.010624,0.56601
3,0.0435187,0.0041974,0.01425765,0.00029029,0.0855825,0.0079766,0.55968
9,0.0500411,0.0064514,0.01437352,0.00041007,0.099209,0.012684,0.56878
6,0.0469276,0.004247,0.01461639,0.0002863,0.0946085,0.008226,0.55838
26,0.0445875,0.0048491,0.01460995,0.0006049,0.0898667,0.009355,0.41787