,U1 (ppm),Th1 (ppm),Th/U,,207Pb/206Pb,+/-1sigma,207Pb/235U,+/-1sigma,206Pb/238U,+/-1sigma,208Pb/232Th,+/-1sigma,Rho,,206Pb/238U,+/-1sigma,207Pb/235U,+/-1sigma,207Pb/206Pb,+/-1sigma,Best age (Ma),+/-1sigma,,%disc
Zircon_10_018,145,97,0.60,,0.05472,0.0029,0.08173,0.00448,0.01089,0.00015,0.00325,0.00008,0.26,,69.8,1,80,4,401,119,70,1,,12.8
Zircon_11_020,125,86,0.61,,0.05656,0.00283,0.08259,0.00436,0.0107,0.00018,0.00328,0.0001,0.32,,69,1,81,4,474,111,69,1,,14.8
Zircon_12_021,149,95,0.57,,0.05377,0.0028,0.07966,0.00429,0.01083,0.00015,0.0033,0.00009,0.26,,69.4,1,78,4,361,118,69,1,,11.0
Zircon_13_022,194,151,0.70,,0.05176,0.00228,0.07815,0.00381,0.01109,0.00023,0.00336,0.00009,0.43,,71,1,76,4,275,101,71,1,,6.6
Zircon_14_023,243,220,0.81,,0.05543,0.00227,0.08251,0.00363,0.01088,0.00017,0.00349,0.00012,0.37,,70,1,81,3,430,91,70,1,,13.6
Zircon_15_024,239,207,0.78,,0.04989,0.0021,0.07248,0.00319,0.01057,0.00014,0.00305,0.00008,0.29,,67.8,0.9,71,3,190,96,68,1,,4.5
Zircon_16_026,262,268,0.92,,0.05116,0.00164,0.07674,0.00265,0.01098,0.00014,0.00325,0.00008,0.37,,70.4,0.9,75,2,248,74,70,1,,6.1
Zircon_17_027,141,87,0.55,,0.0555,0.00261,0.08168,0.00403,0.01079,0.00016,0.00339,0.00016,0.3,,69,1,80,4,432,105,69,1,,13.8
Zircon_18_028,168,115,0.61,,0.05257,0.002,0.07942,0.00319,0.01107,0.00014,0.00329,0.00008,0.32,,71,0.9,78,3,310,86,71,1,,9.0
Zircon_19_029,289,250,0.78,,0.05448,0.00294,0.08056,0.00449,0.01083,0.00015,0.00332,0.00007,0.25,,69.4,1,79,4,391,121,69,1,,12.2
Zircon_2_009,160,138,0.77,,0.06021,0.00223,0.09124,0.00355,0.01111,0.00013,0.00346,0.00013,0.31,,71.2,0.8,89,3,611,80,71,1,,20.0
Zircon_20_030,367,412,1.01,,0.05139,0.00154,0.07515,0.00243,0.01065,0.00013,0.00305,0.00006,0.38,,68.3,0.8,74,2,258,69,68,1,,7.7
Zircon_21_032,167,113,0.61,,0.05756,0.00299,0.08656,0.00466,0.01102,0.00015,0.00088,0.00006,0.26,,70.7,1,84,4,513,114,71,1,,15.8
Zircon_22_033,254,226,0.80,,0.05523,0.00271,0.08075,0.00409,0.01072,0.00014,0.00315,0.00008,0.25,,68.7,0.9,79,4,422,110,69,1,,13.0
Zircon_23_034,479,549,1.03,,0.05011,0.00145,0.07468,0.00234,0.0108,0.00013,0.00316,0.00007,0.38,,69.2,0.8,73,2,200,67,69,1,,5.2
Zircon_24_035,252,238,0.85,,0.05163,0.00196,0.07876,0.00314,0.01112,0.00013,0.00329,0.00008,0.31,,71.3,0.8,77,3,269,87,71,1,,7.4
Zircon_25_036,368,398,0.97,,0.05337,0.00155,0.08028,0.00255,0.01094,0.00014,0.00317,0.00006,0.4,,70.1,0.9,78,2,345,65,70,1,,10.1
Zircon_27_039,173,128,0.66,,0.05226,0.00204,0.07963,0.00325,0.01109,0.00013,0.00316,0.00008,0.29,,71.1,0.8,78,3,297,89,71,1,,8.8
Zircon_28_040,168,131,0.70,,0.04872,0.00195,0.07416,0.00314,0.01118,0.00016,0.00328,0.0001,0.33,,72,1,73,3,134,89,72,1,,1.4
Zircon_31_044,170,118,0.62,,0.05555,0.0025,0.08014,0.00375,0.01053,0.00014,0.00322,0.00008,0.27,,67.5,0.9,78,4,434,98,68,1,,13.5
Zircon_34_047,137,98,0.64,,0.05324,0.00282,0.08004,0.00443,0.01107,0.00018,0.00311,0.00009,0.29,,71,1,78,4,339,118,71,1,,9.0
Zircon_35_048,191,173,0.81,,0.05655,0.00221,0.08742,0.00362,0.01132,0.00016,0.00348,0.00009,0.33,,73,1,85,3,474,85,73,1,,14.1
Zircon_36_050,170,114,0.60,,0.06065,0.00419,0.09107,0.00641,0.01095,0.00015,0.0031,0.00008,0.19,,70.2,1,88,6,627,147,70,1,,20.2
Zircon_37_051,256,225,0.79,,0.00751,0.00173,0.01093,0.00252,0.01082,0.00013,0.00309,0.00007,0.04,,69.4,0.8,11,3,-1488,110,69,1,,-530.9
Zircon_38_052,189,149,0.71,,0.05285,0.00185,0.07774,0.00296,0.01077,0.00016,0.00313,0.00008,0.39,,69,1,76,3,322,78,69,1,,9.2
Zircon_39_053,139,89,0.58,,0.06828,0.00956,0.10216,0.01438,0.01114,0.00017,0.00334,0.00009,0.1,,71,1,99,13,877,294,71,1,,28.3
Zircon_4_011,374,412,0.99,,0.05232,0.0035,0.07578,0.0056,0.0105,0.00015,0.0033,0.00004,0.22,,67.4,0.9,74,5,300,148,67,1,,8.9
Zircon_40_054,334,188,0.50,,0.05034,0.00141,0.07651,0.00233,0.01105,0.00013,0.0026,0.00007,0.39,,70.8,0.8,75,2,211,63,71,1,,5.6
Zircon_5_012,646,224,0.31,,0.05868,0.0088,0.08096,0.01218,0.01032,0.00012,0.0034,0.00009,0.08,,66.2,0.8,79,11,555,320,66,1,,16.2
Zircon_6_014,223,206,0.83,,0.05455,0.0039,0.08038,0.0064,0.01069,0.00018,0.00334,0.00005,0.27,,69,1,78,6,394,157,69,1,,11.5
Zircon_7_015,142,99,0.63,,0.05994,0.00402,0.0852,0.00583,0.01052,0.00015,0.00338,0.0001,0.2,,67.5,1,83,5,601,143,68,1,,18.7
Zircon_8_016,122,81,0.59,,0.0701,0.00841,0.10409,0.01266,0.01098,0.00022,0.0034,0.00013,0.16,,70,1,101,12,931,248,70,1,,30.7
Zircon_9_017,160,118,0.66,,0.0551,0.00253,0.08176,0.00393,0.01079,0.00015,0.00334,0.00009,0.3,,69.2,1,80,4,416,101,69,1,,13.5
Zircon_9-30-09-4_1_008,228,217,0.85,,0.04993,0.00175,0.07377,0.00278,0.01084,0.00015,0.00323,0.0001,0.37,,69.5,1,72,3,192,79,70,1,,3.5
Zircon_26_038,153,103,0.60,,0.05351,0.00246,0.07723,0.00379,0.0105,0.00018,0.0032,0.00009,0.35,,67,1,76,4,350,102,67,1,,11.8
Zircon_29_041,459,205,0.40,,0.06088,0.00343,0.08946,0.00568,0.01066,0.00018,0.00329,0.00006,0.38,,68,1,87,5,635,119,68,1,,21.8
Zircon_30_042,127,82,0.58,,0.0551,0.00325,0.08455,0.00519,0.01115,0.00019,0.00338,0.0001,0.28,,71,1,82,5,416,130,71,1,,13.4
Zircon_33_046,279,285,0.91,,0.05738,0.00272,0.08934,0.00502,0.01129,0.00016,0.00351,0.00004,0.34,,72,1,87,5,506,102,72,1,,17.2
